stream_m3s,day,month,year,date,streamflow
10.760384,6,6,1948,1948-06-06,0.23615555212355213
9.9958304,7,6,1948,1948-06-07,0.21937607868319445
15.7724576,8,6,1948,1948-06-08,0.34615432245478556
18.8023552,9,6,1948,1948-06-09,0.4126507542369437
17.6696832,10,6,1948,1948-06-10,0.3877922750660435
14.4132512,11,6,1948,1948-06-11,0.31632414744970533
15.0928544,12,6,1948,1948-06-12,0.3312392349522455
13.733648,13,6,1948,1948-06-13,0.30140905994716527
13.2805792,14,6,1948,1948-06-14,0.2914656682788051
10.8736512,15,6,1948,1948-06-15,0.23864140004064213
9.7976128,16,6,1948,1948-06-16,0.21502584482828693
8.9764256,17,6,1948,1948-06-17,0.19700344742938428
9.4294944,18,6,1948,1948-06-18,0.20694683909774433
8.353456,19,6,1948,1948-06-19,0.18333128388538913
7.8437536,20,6,1948,1948-06-20,0.17214496825848405
6.937616,21,6,1948,1948-06-21,0.15225818492176388
6.2580127999999995,22,6,1948,1948-06-22,0.1373430974192237
6.3995968,23,6,1948,1948-06-23,0.14045040731558625
10.2223648,24,6,1948,1948-06-24,0.2243477745173745
11.7797888,25,6,1948,1948-06-25,0.25852818337736233
8.1835552,26,6,1948,1948-06-26,0.17960251200975413
6.796032,27,6,1948,1948-06-27,0.14915087502540136
6.8809824,28,6,1948,1948-06-28,0.15101526096321885
6.3429632,29,6,1948,1948-06-29,0.13920748335704125
5.66336,30,6,1948,1948-06-30,0.12429239585450111
5.1253408,1,7,1948,1948-07-01,0.11248461824832352
4.6439552,2,7,1948,1948-07-02,0.10191976460069091
4.2192032,3,7,1948,1948-07-03,0.09259783491160334
3.9077184,4,7,1948,1948-07-04,0.08576175313960577
4.813856,5,7,1948,1948-07-05,0.10564853647632597
18.4908704,6,7,1948,1948-07-06,0.4058146724649461
13.6203808,7,7,1948,1948-07-07,0.2989232120300752
7.8437536,8,7,1948,1948-07-08,0.17214496825848405
5.9748448,9,7,1948,1948-07-09,0.13112847762649868
4.9837568,10,7,1948,1948-07-10,0.10937730835196098
4.530688,11,7,1948,1948-07-11,0.09943391668360088
4.2192032,12,7,1948,1948-07-12,0.09259783491160334
4.1625696,13,7,1948,1948-07-13,0.09135491095305834
5.0403904,14,7,1948,1948-07-14,0.11062023231050598
4.0493024,15,7,1948,1948-07-15,0.0888690630359683
3.6528671999999998,16,7,1948,1948-07-16,0.08016859532615321
3.5112832,17,7,1948,1948-07-17,0.0770612854297907
3.398016,18,7,1948,1948-07-18,0.07457543751270068
3.2847488,19,7,1948,1948-07-19,0.07208958959561064
3.1714816,20,7,1948,1948-07-20,0.06960374167852063
4.2758367999999995,21,7,1948,1948-07-21,0.09384075887014834
4.1625696,22,7,1948,1948-07-22,0.09135491095305834
7.645536,23,7,1948,1948-07-23,0.1677947344035765
11.609888,24,7,1948,1948-07-24,0.2547994115017273
6.1164287999999996,25,7,1948,1948-07-25,0.1342357875228612
4.530688,26,7,1948,1948-07-26,0.09943391668360088
4.3324704,27,7,1948,1948-07-27,0.09508368282869335
4.105936,28,7,1948,1948-07-28,0.09011198699451331
3.5679168,29,7,1948,1948-07-29,0.07830420938833571
3.3413824,30,7,1948,1948-07-30,0.07333251355415565
3.398016,31,7,1948,1948-07-31,0.07457543751270068
3.114848,1,8,1948,1948-08-01,0.06836081771997561
2.9166304,2,8,1948,1948-08-02,0.06401058386506807
2.7467296,3,8,1948,1948-08-03,0.06028181198943305
2.6617792,4,8,1948,1948-08-04,0.05841742605161552
2.6051456,5,8,1948,1948-08-05,0.05717450209307052
3.9926688,6,8,1948,1948-08-06,0.08762613907742328
3.6245504,7,8,1948,1948-08-07,0.07954713334688071
3.114848,8,8,1948,1948-08-08,0.06836081771997561
3.3413824,9,8,1948,1948-08-09,0.07333251355415565
2.690096,10,8,1948,1948-08-10,0.05903888803088803
2.548512,11,8,1948,1948-08-11,0.055931578134525504
3.681184,12,8,1948,1948-08-12,0.08079005730542572
7.4190016,13,8,1948,1948-08-13,0.16282303856939645
5.66336,14,8,1948,1948-08-14,0.12429239585450111
4.6439552,15,8,1948,1948-08-15,0.10191976460069091
3.681184,16,8,1948,1948-08-16,0.08079005730542572
3.2847488,17,8,1948,1948-08-17,0.07208958959561064
2.9166304,18,8,1948,1948-08-18,0.06401058386506807
2.9449472,19,8,1948,1948-08-19,0.06463204584434058
2.9449472,20,8,1948,1948-08-20,0.06463204584434058
2.8033632,21,8,1948,1948-08-21,0.061524735947978054
2.8033632,22,8,1948,1948-08-22,0.061524735947978054
3.3413824,23,8,1948,1948-08-23,0.07333251355415565
2.8033632,24,8,1948,1948-08-24,0.061524735947978054
2.5768288,25,8,1948,1948-08-25,0.056553040113798005
2.406928,26,8,1948,1948-08-26,0.05282426823816298
2.3219776,27,8,1948,1948-08-27,0.050959882300345455
2.265344,28,8,1948,1948-08-28,0.04971695834180044
2.1520768,29,8,1948,1948-08-29,0.047231110424710426
2.0671264,30,8,1948,1948-08-30,0.045366724486892905
2.0671264,31,8,1948,1948-08-31,0.045366724486892905
1.982176,1,9,1948,1948-09-01,0.043502338549075384
1.982176,2,9,1948,1948-09-02,0.043502338549075384
1.982176,3,9,1948,1948-09-03,0.043502338549075384
1.9255423999999999,4,9,1948,1948-09-04,0.04225941459053038
1.9255423999999999,5,9,1948,1948-09-05,0.04225941459053038
1.8972256,6,9,1948,1948-09-06,0.04163795261125788
1.8689088,7,9,1948,1948-09-07,0.04101649063198537
1.8122752,8,9,1948,1948-09-08,0.039773566673440355
1.8689088,9,9,1948,1948-09-09,0.04101649063198537
2.0671264,10,9,1948,1948-09-10,0.045366724486892905
1.9255423999999999,11,9,1948,1948-09-11,0.04225941459053038
1.8972256,12,9,1948,1948-09-12,0.04163795261125788
1.699008,13,9,1948,1948-09-13,0.03728771875635034
1.699008,14,9,1948,1948-09-14,0.03728771875635034
1.6423744,15,9,1948,1948-09-15,0.03604479479780532
1.6423744,16,9,1948,1948-09-16,0.03604479479780532
